"k_hat","m"
472,10000
504,10000
535,10000
517,10000
370,10000
474,10000
498,10000
439,10000
555,10000
385,10000
505,10000
495,10000
480,10000
482,10000
482,10000
459,10000
464,10000
513,10000
493,10000
497,10000
444,10000
435,10000
455,10000
447,10000
488,10000
378,10000
378,10000
438,10000
452,10000
533,10000
533,10000
518,10000
441,10000
453,10000
518,10000
456,10000
553,10000
485,10000
442,10000
546,10000
529,10000
492,10000
466,10000
470,10000
472,10000
522,10000
470,10000
501,10000
488,10000
500,10000
539,10000
552,10000
430,10000
474,10000
450,10000
486,10000
414,10000
523,10000
473,10000
507,10000
