"k_hat","m"
27,100
28,100
9,100
24,100
19,100
11,100
26,100
12,100
20,100
25,100
13,100
17,100
14,100
24,100
32,100
30,100
7,100
43,100
26,100
30,100
32,100
36,100
28,100
30,100
0,100
15,100
32,100
16,100
24,100
30,100
46,100
28,100
30,100
18,100
30,100
21,100
10,100
26,100
33,100
30,100
13,100
13,100
42,100
22,100
18,100
31,100
11,100
26,100
27,100
23,100
28,100
31,100
29,100
28,100
14,100
23,100
23,100
18,100
19,100
38,100
20,100
37,100
26,100
32,100
24,100
28,100
31,100
25,100
25,100
23,100
32,100
31,100
26,100
21,100
21,100
28,100
36,100
31,100
26,100
12,100
20,100
7,100
31,100
19,100
16,100
7,100
37,100
25,100
27,100
25,100
23,100
15,100
28,100
28,100
29,100
14,100
32,100
20,100
31,100
35,100
29,100
25,100
22,100
32,100
21,100
25,100
23,100
28,100
26,100
22,100
33,100
28,100
30,100
25,100
19,100
28,100
32,100
26,100
34,100
18,100
32,100
33,100
26,100
33,100
24,100
32,100
23,100
32,100
30,100
23,100
30,100
17,100
31,100
38,100
20,100
27,100
36,100
21,100
21,100
38,100
40,100
46,100
43,100
30,100
5,100
31,100
21,100
34,100
30,100
33,100
29,100
36,100
17,100
27,100
18,100
29,100
23,100
36,100
12,100
26,100
20,100
24,100
37,100
23,100
32,100
11,100
29,100
20,100
22,100
20,100
21,100
19,100
19,100
20,100
24,100
21,100
20,100
26,100
26,100
20,100
21,100
35,100
28,100
17,100
20,100
14,100
16,100
26,100
12,100
30,100
36,100
18,100
42,100
15,100
32,100
26,100
26,100
28,100
9,100
36,100
26,100
21,100
26,100
20,100
17,100
18,100
26,100
24,100
15,100
29,100
24,100
26,100
16,100
25,100
22,100
35,100
16,100
33,100
21,100
29,100
15,100
19,100
24,100
16,100
37,100
13,100
26,100
32,100
23,100
28,100
18,100
26,100
19,100
29,100
36,100
25,100
17,100
17,100
25,100
35,100
26,100
33,100
13,100
17,100
11,100
30,100
18,100
15,100
14,100
30,100
23,100
30,100
17,100
29,100
35,100
27,100
0,100
25,100
18,100
38,100
20,100
38,100
25,100
23,100
23,100
27,100
28,100
34,100
29,100
29,100
13,100
40,100
26,100
34,100
15,100
13,100
23,100
19,100
30,100
20,100
33,100
44,100
22,100
23,100
37,100
11,100
36,100
20,100
32,100
27,100
25,100
39,100
25,100
17,100
21,100
31,100
27,100
15,100
30,100
11,100
36,100
22,100
22,100
17,100
33,100
18,100
43,100
26,100
8,100
25,100
32,100
23,100
28,100
16,100
19,100
26,100
2,100
23,100
40,100
20,100
28,100
35,100
35,100
10,100
29,100
27,100
29,100
28,100
28,100
2,100
10,100
32,100
19,100
32,100
24,100
14,100
19,100
27,100
26,100
30,100
33,100
30,100
38,100
25,100
18,100
21,100
33,100
27,100
20,100
24,100
17,100
30,100
34,100
20,100
31,100
24,100
18,100
33,100
12,100
21,100
28,100
19,100
22,100
40,100
22,100
20,100
14,100
27,100
21,100
31,100
38,100
13,100
38,100
29,100
29,100
34,100
17,100
24,100
24,100
36,100
21,100
27,100
42,100
32,100
32,100
25,100
34,100
16,100
39,100
16,100
15,100
25,100
5,100
25,100
29,100
23,100
11,100
24,100
24,100
29,100
32,100
39,100
30,100
27,100
37,100
14,100
23,100
36,100
32,100
19,100
10,100
30,100
29,100
33,100
38,100
31,100
19,100
24,100
29,100
29,100
42,100
26,100
26,100
23,100
12,100
36,100
26,100
22,100
31,100
19,100
37,100
28,100
32,100
22,100
31,100
26,100
20,100
35,100
23,100
19,100
16,100
9,100
23,100
14,100
28,100
28,100
20,100
24,100
25,100
19,100
22,100
17,100
19,100
22,100
22,100
15,100
31,100
20,100
31,100
35,100
32,100
22,100
34,100
15,100
4,100
31,100
17,100
21,100
34,100
17,100
27,100
28,100
19,100
23,100
24,100
9,100
25,100
42,100
27,100
27,100
40,100
45,100
30,100
25,100
19,100
12,100
22,100
21,100
21,100
21,100
39,100
8,100
24,100
16,100
21,100
20,100
17,100
29,100
31,100
21,100
27,100
25,100
36,100
28,100
13,100
20,100
6,100
30,100
29,100
34,100
22,100
28,100
22,100
23,100
17,100
31,100
30,100
17,100
30,100
30,100
39,100
25,100
35,100
15,100
21,100
29,100
21,100
32,100
17,100
32,100
22,100
29,100
29,100
27,100
39,100
17,100
13,100
28,100
24,100
28,100
19,100
40,100
31,100
31,100
33,100
15,100
24,100
39,100
35,100
18,100
16,100
35,100
20,100
42,100
29,100
23,100
21,100
28,100
7,100
32,100
37,100
14,100
31,100
30,100
33,100
38,100
21,100
30,100
36,100
