"KR","KR_U","Freedman"
0.0897468853560021,0.113165698413181,0.190175217917356
0.08916047490615,0.112351793233679,0.188723678082788
0.088847425030059,0.111831373612255,0.187705134994886
0.0886076063781599,0.111392424844214,0.186807302603566
0.0893230414864806,0.112149894465046,0.187906499327925
0.0887674482665023,0.111380433436341,0.186528904549577
0.0884722401720056,0.110890354603313,0.185558546387223
0.0882458404922207,0.110476713325877,0.184700378881502
0.088051599538904,0.11010059901669,0.183897716087704
0.0878766831436222,0.109748320120939,0.183130600529952
0.0877151247213096,0.109413460215796,0.182389686881783
0.0875636426845322,0.109092449485279,0.18166978742171
0.0874202186940132,0.108783059252271,0.180967674913433
0.0872835082366696,0.108483777751025,0.180281170414982
0.0871525604420502,0.108193513316885,0.179608709017153
0.0870266708287332,0.107911438325352,0.178949111263372
0.086905297723913,0.107636900554018,0.17830145320819
0.0867880118461138,0.107369369664187,0.17766498791285
0.0866744643531202,0.107108403240177,0.177039095616469
0.0873513145269062,0.10782502091596,0.178027098523761
0.08692225960942,0.107232545808176,0.176944345448261
0.0874917669408003,0.107835513844474,0.177771674463422
0.0870137311629656,0.107193648130144,0.176623870496136
0.086771457737818,0.106803799236802,0.175824340842339
0.0865924089258789,0.106483228956908,0.175121890094857
0.0864423556910486,0.106195636143693,0.174466507173781
0.0863091405307527,0.11308372891353,0.173840351720724
0.0861871316133079,0.112729053649898,0.173235109189836
0.086073278279686,0.11238643965968,0.172646238242908
0.0859657453265232,0.105197763765629,0.172070976994402
0.0865848820481063,0.105853277106094,0.172948747284671
0.0869136876865281,0.106201401316615,0.173413875220275
0.0871480051759719,0.106449485842827,0.173744908415554
0.087333602080985,0.106645987266413,0.174006857821415
0.0867597674207028,0.105920260933603,0.172773907550946
0.0864629167241307,0.105489745751875,0.171937799280421
0.0862500700391148,0.105150075435813,0.171225376742538
0.086077942009579,0.104855374980556,0.17057514259099
0.0859299616440118,0.104588054814596,0.169963465916538
0.085798069939051,0.104339538905095,0.169378802797577
0.0856777574921204,0.104105010754433,0.168814657654592
0.0855662529963775,0.103881495407982,0.168267010612547
0.0854617336401349,0.103667023409662,0.167733194903951
0.085362936653016,0.103460219475518,0.167211344035101
0.0852689504838113,0.103260081355321,0.166700094313002
0.0851790946271642,0.103065852553619,0.166198413495457
0.0850928466119173,0.102876944985407,0.165705496590411
0.0850097956324755,0.102692889842146,0.165220699617475
0.0849296119912652,0.102513305199661,0.164743495913689
0.0848520263188025,0.102337873979869,0.16427344639027
0.0847768150558598,0.102166328544181,0.163810178730424
0.0847037900691861,0.101998439664877,0.16335337249305
0.0852505486675924,0.102577322394289,0.164091819376537
0.0849238081761386,0.102142123924789,0.163295080577047
