"k_hat","m"
5,100
6,100
7,100
6,100
7,100
5,100
3,100
0,100
1,100
7,100
7,100
4,100
3,100
2,100
9,100
9,100
5,100
5,100
1,100
5,100
4,100
4,100
3,100
8,100
6,100
7,100
10,100
7,100
2,100
6,100
4,100
4,100
5,100
5,100
4,100
8,100
1,100
2,100
7,100
7,100
3,100
6,100
12,100
9,100
6,100
4,100
6,100
4,100
6,100
3,100
10,100
11,100
1,100
7,100
6,100
4,100
4,100
2,100
9,100
3,100
5,100
6,100
2,100
6,100
10,100
6,100
7,100
3,100
8,100
4,100
8,100
6,100
10,100
8,100
2,100
2,100
6,100
5,100
4,100
5,100
7,100
2,100
5,100
1,100
8,100
8,100
4,100
1,100
2,100
5,100
6,100
6,100
3,100
2,100
1,100
4,100
14,100
6,100
5,100
4,100
3,100
6,100
6,100
3,100
4,100
7,100
6,100
3,100
10,100
4,100
2,100
11,100
5,100
8,100
8,100
3,100
7,100
3,100
6,100
6,100
6,100
5,100
3,100
8,100
2,100
6,100
4,100
9,100
5,100
2,100
8,100
3,100
8,100
5,100
7,100
6,100
13,100
4,100
8,100
6,100
5,100
8,100
4,100
3,100
3,100
3,100
11,100
5,100
4,100
5,100
6,100
7,100
10,100
12,100
11,100
5,100
4,100
4,100
5,100
8,100
5,100
3,100
1,100
3,100
2,100
3,100
3,100
9,100
5,100
9,100
5,100
3,100
5,100
14,1000
7,1000
11,1000
14,1000
12,1000
10,1000
6,1000
12,1000
11,1000
20,1000
20,1000
19,1000
8,1000
13,1000
10,1000
15,1000
13,1000
12,1000
9,1000
20,1000
16,1000
11,1000
17,1000
14,1000
11,1000
11,1000
16,1000
7,1000
15,1000
11,1000
11,1000
14,1000
18,1000
15,1000
18,1000
9,1000
16,1000
12,1000
13,1000
22,1000
15,1000
14,1000
13,1000
12,1000
7,1000
12,1000
10,1000
17,1000
15,1000
20,1000
8,1000
8,1000
6,1000
12,1000
24,1000
16,1000
9,1000
19,1000
27,1000
8,1000
21,1000
9,1000
9,1000
6,1000
25,1000
17,1000
8,1000
10,1000
13,1000
14,1000
11,1000
15,1000
19,1000
11,1000
21,1000
18,1000
16,1000
14,1000
15,1000
10,1000
21,1000
18,1000
10,1000
16,1000
22,1000
21,1000
17,1000
7,1000
3,1000
15,1000
13,1000
15,1000
12,1000
19,1000
14,1000
20,1000
14,1000
17,1000
10,1000
9,1000
19,1000
20,1000
12,1000
24,1000
10,1000
20,1000
15,1000
14,1000
13,1000
17,1000
14,1000
25,1000
13,1000
18,1000
15,1000
10,1000
24,1000
20,1000
16,1000
9,1000
10,1000
12,1000
5,1000
16,1000
23,1000
18,1000
11,1000
8,1000
15,1000
13,1000
14,1000
4,1000
22,1000
7,1000
19,1000
11,1000
14,1000
20,1000
7,1000
22,1000
8,1000
15,1000
11,1000
13,1000
13,1000
20,1000
18,1000
9,1000
11,1000
14,1000
18,1000
20,1000
27,1000
16,1000
14,1000
11,1000
22,1000
13,1000
9,1000
9,1000
11,1000
35,1000
13,1000
19,1000
10,1000
15,1000
17,1000
15,1000
13,1000
11,1000
23,1000
5,1000
14,1000
21,1000
14,1000
8,1000
25,1000
7,1000
14,1000
14,1000
3,1000
14,1000
13,1000
15,1000
12,1000
12,1000
12,1000
6,1000
12,1000
23,1000
12,1000
18,1000
18,1000
18,1000
18,1000
16,1000
18,1000
27,1000
20,1000
14,1000
13,1000
14,1000
14,1000
16,1000
22,1000
17,1000
12,1000
16,1000
5,1000
13,1000
24,1000
21,1000
12,1000
23,1000
9,1000
9,1000
14,1000
9,1000
10,1000
17,1000
18,1000
13,1000
12,1000
14,1000
13,1000
15,1000
18,1000
13,1000
14,1000
15,1000
16,1000
20,1000
21,1000
21,1000
11,1000
12,1000
16,1000
17,1000
15,1000
24,1000
20,1000
19,1000
11,1000
15,1000
14,1000
12,1000
16,1000
9,1000
18,1000
16,1000
15,1000
17,1000
11,1000
25,1000
11,1000
20,1000
16,1000
13,1000
12,1000
16,1000
18,1000
11,1000
4,1000
17,1000
16,1000
12,1000
22,1000
18,1000
27,1000
15,1000
15,1000
5,1000
24,1000
15,1000
14,1000
21,1000
17,1000
14,1000
13,1000
15,1000
15,1000
12,1000
13,1000
16,1000
16,1000
17,1000
13,1000
19,1000
6,1000
11,1000
16,1000
14,1000
20,1000
16,1000
18,1000
15,1000
4,1000
19,1000
10,1000
13,1000
15,1000
13,1000
10,1000
14,1000
5,1000
29,1000
11,1000
18,1000
6,1000
17,1000
12,1000
8,1000
9,1000
11,1000
13,1000
8,1000
21,1000
10,1000
17,1000
19,1000
10,1000
12,1000
12,1000
20,1000
18,1000
12,1000
20,1000
18,1000
15,1000
22,1000
14,1000
18,1000
9,1000
18,1000
14,1000
7,1000
21,1000
15,1000
21,1000
10,1000
16,1000
22,1000
15,1000
11,1000
13,1000
19,1000
12,1000
19,1000
11,1000
12,1000
13,1000
14,1000
9,1000
15,1000
8,1000
12,1000
7,1000
14,1000
15,1000
16,1000
25,1000
17,1000
15,1000
10,1000
19,1000
16,1000
18,1000
13,1000
14,1000
13,1000
11,1000
12,1000
8,1000
24,1000
16,1000
18,1000
12,1000
11,1000
14,1000
12,1000
20,1000
18,1000
15,1000
10,1000
12,1000
13,1000
10,1000
12,1000
14,1000
20,1000
12,1000
18,1000
12,1000
13,1000
16,1000
12,1000
17,1000
21,1000
19,1000
13,1000
12,1000
14,1000
11,1000
14,1000
13,1000
12,1000
18,1000
14,1000
12,1000
18,1000
19,1000
12,1000
8,1000
22,1000
16,1000
9,1000
18,1000
9,1000
12,1000
25,1000
12,1000
14,1000
15,1000
16,1000
15,1000
10,1000
18,1000
26,1000
22,1000
18,1000
15,1000
16,1000
28,1000
14,1000
7,1000
13,1000
12,1000
8,1000
24,1000
14,1000
22,1000
10,1000
10,1000
10,1000
15,1000
19,1000
14,1000
15,1000
19,1000
16,1000
16,1000
12,1000
22,1000
19,1000
8,1000
24,1000
12,1000
18,1000
16,1000
16,1000
23,1000
9,1000
8,1000
19,1000
10,1000
14,1000
9,1000
15,1000
15,1000
12,1000
9,1000
7,1000
21,1000
10,1000
12,1000
18,1000
10,1000
14,1000
14,1000
11,1000
14,1000
20,1000
13,1000
17,1000
20,1000
15,1000
22,1000
11,1000
12,1000
15,1000
10,1000
17,1000
18,1000
12,1000
16,1000
6,1000
4,1000
11,1000
7,1000
10,1000
17,1000
9,1000
11,1000
15,1000
24,1000
16,1000
10,1000
19,1000
11,1000
17,1000
15,1000
13,1000
19,1000
13,1000
19,1000
16,1000
9,1000
17,1000
10,1000
11,1000
14,1000
12,1000
11,1000
16,1000
17,1000
16,1000
10,1000
14,1000
19,1000
12,1000
20,1000
18,1000
25,1000
13,1000
24,1000
15,1000
15,1000
15,1000
30,1000
12,1000
11,1000
10,1000
12,1000
15,1000
13,1000
12,1000
17,1000
24,1000
15,1000
5,1000
11,1000
12,1000
16,1000
11,1000
13,1000
11,1000
13,1000
13,1000
23,1000
19,1000
16,1000
10,1000
11,1000
24,1000
18,1000
21,1000
25,1000
11,1000
11,1000
15,1000
10,1000
15,1000
10,1000
14,1000
14,1000
12,1000
16,1000
16,1000
20,1000
10,1000
14,1000
15,1000
20,1000
13,1000
16,1000
7,1000
15,1000
15,1000
16,1000
14,1000
11,1000
16,1000
9,1000
10,1000
25,1000
18,1000
16,1000
13,1000
19,1000
