"bound","pi_hat","m"
"DKW",0.688356748475958,10
"DKW",0.979547836886389,10
"DKW",0.676572480014051,10
"DKW",0.428747131490874,10
"DKW",0.524494486869301,10
"DKW",0.369214778998501,10
"DKW",0.38017656866194,10
"DKW",0.152629399923692,10
"DKW",0.701121651115102,10
"DKW",0.348299765878606,10
"DKW",0.978889392424832,10
"DKW",0.901056086371742,10
"DKW",0.461442025895298,10
"DKW",0.734987851518164,10
"DKW",0.807400471491111,10
"DKW",0.781835390051817,10
"DKW",0.616492137349496,10
"DKW",0.5285436895109,10
"DKW",0.362258749816705,10
"DKW",0.868098926035736,10
"DKW",0.540319316023007,10
"DKW",0.637484999183134,10
"DKW",0.560071434762237,10
"DKW",1,10
"DKW",0.527585929531313,10
"DKW",0.87133069105391,10
"DKW",0.426291750158845,10
"DKW",0.873325794008058,10
"DKW",0.849325173512896,10
"DKW",0.310412565275977,10
"DKW",1,10
"DKW",0.416152996607556,10
"DKW",0.663651458037855,10
"DKW",0.305666459138999,10
"DKW",0.470579017354155,10
"DKW",0.495276341660828,10
"DKW",0.795713090604284,10
"DKW",0.795751495821529,10
"DKW",0.622330905521495,10
"DKW",0.868485566317378,10
"DKW",0.954452979868705,10
"DKW",0.646910016431302,10
"DKW",0.894371047522531,10
"DKW",0.575604391847101,10
"DKW",0.434854761859989,10
"DKW",1,10
"DKW",0.442019039675613,10
"DKW",1,10
"DKW",0.680555115117482,10
"DKW",0.443391062112911,10
"DKW",0.628962774419097,10
"DKW",0.774011119172454,10
"DKW",0.277247386843853,10
"DKW",0.431881310904092,10
"DKW",0.394003004640895,10
"DKW",1,10
"DKW",0.964735095504275,10
"DKW",0.940268639906804,10
"DKW",0.592896587747563,10
"DKW",0.635544395858412,10
"DKW",0.663460396728192,10
"DKW",0.750762653338484,10
"DKW",0.836836433889752,10
